locale_idlocale,locale_idcity,locale_capital,locale_idcountry,locale_ac,locale_country,locale_uf,locale_city,locale_region,locale_seaside,locale_latitude,locale_longitude,locale_tourist,locale_agricultural,locale_base,weather_id,weather_name,weather_date,weather_dayWeek,weather_dateUpdate,weather_temperature,weather_windVelocity,weather_windDirection,weather_windDirectionDegrees,weather_humidity,weather_condition,weather_pressure,weather_icon,weather_sensation,weather_slugCondition
6773,2833,False,7,BR,Brasil,PR,Floraí,S,False,-23.317,-52.304,False,False,cities,6773,Floraí,09/09/2026,Quarta-feira,11:09:00,19,13,ENE,77,81,Sol com muitas nuvens,1017,2r,18,sol-com-muitas-nuvens
6775,2834,False,7,BR,Brasil,PR,Floresta,S,False,-23.599,-52.081,False,False,cities,6775,Floresta,09/09/2026,Quarta-feira,10:24:00,19,15,ENE,75,82,Sol com muitas nuvens,1017,2r,18,sol-com-muitas-nuvens
6776,2835,False,7,BR,Brasil,PR,Florestópolis,S,False,-22.863,-51.387,False,False,cities,6776,Florestópolis,09/09/2026,Quarta-feira,10:24:00,18,7,E,90,83,Chuvoso,1017,5,19,chuvoso
6778,2836,False,7,BR,Brasil,PR,Formosa do Oeste,S,False,-24.293,-53.312,False,False,cities,6778,Formosa do Oeste,09/09/2026,Quarta-feira,10:24:00,19,10,ENE,69,82,Nublado,1017,3,19,nublado
6779,272,False,7,BR,Brasil,PR,Foz do Iguaçu,S,False,-25.548,-54.588,True,False,cities,6779,Foz do Iguaçu,09/09/2026,Quarta-feira,10:24:00,18,9,ENE,63,82,Nublado,1015,3,18,nublado
6780,4254,False,7,BR,Brasil,PR,Foz do Jordão,S,False,-25.642,-52.103,False,True,cities,6780,Foz do Jordão,09/09/2026,Quarta-feira,10:24:00,15,3,ENE,60,68,Nublado,1016,3,14,nublado
6781,4255,False,7,BR,Brasil,PR,Francisco Alves,S,False,-24.066,-53.848,False,False,cities,6781,Francisco Alves,09/09/2026,Quarta-feira,11:09:00,18,7,ENE,70,84,Sol com muitas nuvens,1016,2r,18,sol-com-muitas-nuvens
6782,1310,False,7,BR,Brasil,PR,Francisco Beltrão,S,False,-26.081,-53.055,False,True,cities,6782,Francisco Beltrão,09/09/2026,Quarta-feira,10:24:00,16,3,ENE,58,69,Nublado,1017,3,15,nublado
6770,2837,False,7,BR,Brasil,PR,Fênix,S,False,-23.916,-51.979,False,True,cities,6770,Fênix,09/09/2026,Quarta-feira,10:24:00,19,11,ENE,73,83,Nublado,1017,3,18,nublado
6784,4257,False,7,BR,Brasil,PR,Godoy Moreira,S,False,-24.177,-51.924,False,False,cities,6784,Godoy Moreira,09/09/2026,Quarta-feira,10:24:00,18,8,ENE,70,81,Nublado,1018,3,17,nublado
6785,1311,False,7,BR,Brasil,PR,Goioerê,S,False,-24.185,-53.027,False,True,cities,6785,Goioerê,09/09/2026,Quarta-feira,11:09:00,18,10,ENE,70,78,Nublado,1017,3,18,nublado
6786,4258,False,7,BR,Brasil,PR,Goioxim,S,False,-25.195,-51.992,False,False,cities,6786,Goioxim,09/09/2026,Quarta-feira,10:24:00,15,4,ENE,61,68,Nublado,1017,3,14,nublado
6787,6825,False,7,BR,Brasil,PR,Graciosa,S,False,-23.085,-52.607,False,False,cities,6787,Graciosa,09/09/2026,Quarta-feira,11:09:00,19,11,ENE,77,83,Nublado,1016,3,19,nublado
6788,4259,False,7,BR,Brasil,PR,Grandes Rios,S,False,-24.146,-51.506,False,False,cities,6788,Grandes Rios,09/09/2026,Quarta-feira,11:09:00,17,7,ENE,72,79,Nublado,1018,3,16,nublado
6789,6136,False,7,BR,Brasil,PR,Guaiporã,S,False,-23.944,-53.586,False,False,cities,6789,Guaiporã,09/09/2026,Quarta-feira,10:24:00,18,9,ENE,71,83,Sol com muitas nuvens,1016,2r,18,sol-com-muitas-nuvens
6790,4114,False,7,BR,Brasil,PR,Guairaçá,S,False,-22.934,-52.686,False,False,cities,6790,Guairaçá,09/09/2026,Quarta-feira,11:09:00,19,10,E,79,83,Nublado,1016,3,19,nublado
6792,4260,False,7,BR,Brasil,PR,Guamiranga,S,False,-25.191,-50.805,False,False,cities,6792,Guamiranga,09/09/2026,Quarta-feira,10:24:00,15,1,ENE,66,68,Nublado,1018,3,14,nublado
6793,4261,False,7,BR,Brasil,PR,Guapirama,S,False,-23.516,-50.04,False,False,cities,6793,Guapirama,09/09/2026,Quarta-feira,10:24:00,17,6,E,90,78,Chuvoso,1018,5,17,chuvoso
6794,4262,False,7,BR,Brasil,PR,Guaporema,S,False,-23.343,-52.779,False,True,cities,6794,Guaporema,09/09/2026,Quarta-feira,11:09:00,20,9,ENE,76,82,Nublado,1016,3,20,nublado
6553,4263,False,7,BR,Brasil,PR,Guaraci,S,False,-22.973,-51.65,False,False,cities,6553,Guaraci,09/09/2026,Quarta-feira,11:09:00,18,10,E,82,79,Chuvoso,1017,5,18,chuvoso
6555,6798,False,7,BR,Brasil,PR,Guarani,S,False,-25.212,-52.651,False,False,cities,6555,Guarani,09/09/2026,Quarta-feira,10:24:00,15,5,ENE,61,69,Nublado,1015,3,14,nublado
6554,2838,False,7,BR,Brasil,PR,Guaraniaçu,S,False,-25.101,-52.878,False,False,cities,6554,Guaraniaçu,09/09/2026,Quarta-feira,11:09:00,15,6,ENE,62,69,Nublado,1017,3,13,nublado
